Shifts
------------------------------------------------------------------------
Day | Clinician | Shift Start Time | Shift End Time | Shift Hour Length
------------------------------------------------------------------------
Sunday | Physician | 0 | 12 | 12
Sunday | Physician | 0 | 12 | 12
Sunday | Physician | 5 | 17 | 12
Sunday | Physician | 6 | 18 | 12
Sunday | Physician | 8 | 20 | 12
Sunday | Physician | 10 | 22 | 12
Sunday | Physician | 11 | 23 | 12
Sunday | Physician | 13 | 1 | 12
Sunday | Physician | 17 | 5 | 12
Sunday | Physician | 20 | 8 | 12
Sunday | Physician | 23 | 11 | 12
Sunday | Physician | 1 | 5 | 4
------------------------------------------------------------------------
Monday | Physician | 5 | 17 | 12
Monday | Physician | 6 | 18 | 12
Monday | Physician | 7 | 19 | 12
Monday | Physician | 8 | 20 | 12
Monday | Physician | 9 | 21 | 12
Monday | Physician | 11 | 23 | 12
Monday | Physician | 16 | 4 | 12
Monday | Physician | 17 | 5 | 12
Monday | Physician | 19 | 7 | 12
Monday | Physician | 14 | 18 | 4
Monday | Physician | 21 | 1 | 4
------------------------------------------------------------------------
Tuesday | Physician | 4 | 16 | 12
Tuesday | Physician | 5 | 17 | 12
Tuesday | Physician | 6 | 18 | 12
Tuesday | Physician | 6 | 18 | 12
Tuesday | Physician | 7 | 19 | 12
Tuesday | Physician | 8 | 20 | 12
Tuesday | Physician | 11 | 23 | 12
Tuesday | Physician | 14 | 2 | 12
Tuesday | Physician | 16 | 4 | 12
Tuesday | Physician | 17 | 5 | 12
Tuesday | Physician | 18 | 6 | 12
Tuesday | Physician | 0 | 4 | 4
Tuesday | Physician | 23 | 3 | 4
------------------------------------------------------------------------
Wednesday | Physician | 4 | 16 | 12
Wednesday | Physician | 5 | 17 | 12
Wednesday | Physician | 6 | 18 | 12
Wednesday | Physician | 6 | 18 | 12
Wednesday | Physician | 7 | 19 | 12
Wednesday | Physician | 10 | 22 | 12
Wednesday | Physician | 13 | 1 | 12
Wednesday | Physician | 16 | 4 | 12
Wednesday | Physician | 17 | 5 | 12
Wednesday | Physician | 18 | 6 | 12
Wednesday | Physician | 22 | 2 | 4
------------------------------------------------------------------------
Thursday | Physician | 4 | 16 | 12
Thursday | Physician | 5 | 17 | 12
Thursday | Physician | 6 | 18 | 12
Thursday | Physician | 6 | 18 | 12
Thursday | Physician | 7 | 19 | 12
Thursday | Physician | 10 | 22 | 12
Thursday | Physician | 13 | 1 | 12
Thursday | Physician | 16 | 4 | 12
Thursday | Physician | 17 | 5 | 12
Thursday | Physician | 19 | 23 | 4
Thursday | Physician | 22 | 2 | 4
------------------------------------------------------------------------
Friday | Physician | 3 | 15 | 12
Friday | Physician | 5 | 17 | 12
Friday | Physician | 6 | 18 | 12
Friday | Physician | 10 | 22 | 12
Friday | Physician | 13 | 1 | 12
Friday | Physician | 16 | 4 | 12
Friday | Physician | 22 | 2 | 4
------------------------------------------------------------------------
Saturday | Physician | 3 | 15 | 12
Saturday | Physician | 14 | 22 | 8
Saturday | Physician | 22 | 2 | 4
