Utilization Summary
-------------------------------------------------
Acceptable utilization level -> 75% <= Utilization <= 110%

----------------------------------------
Day | Hour | Utilization per Hour (in %)
----------------------------------------
Sunday | 0.00 - 1.00 | 107.92
Sunday | 1.00 - 2.00 | 80.63
Sunday | 2.00 - 3.00 | 69.67
Sunday | 3.00 - 4.00 | 69.67
Sunday | 4.00 - 5.00 | 51.79
Sunday | 5.00 - 6.00 | 23.44
Sunday | 6.00 - 7.00 | 53.33
Sunday | 7.00 - 8.00 | 92.0
Sunday | 8.00 - 9.00 | 74.23
Sunday | 9.00 - 10.00 | 75.6
Sunday | 10.00 - 11.00 | 79.68
Sunday | 11.00 - 12.00 | 82.94
Sunday | 12.00 - 13.00 | 85.8
Sunday | 13.00 - 14.00 | 72.58
Sunday | 14.00 - 15.00 | 103.83
Sunday | 15.00 - 16.00 | 94.67
Sunday | 16.00 - 17.00 | 81.9
Sunday | 17.00 - 18.00 | 71.67
Sunday | 18.00 - 19.00 | 88.8
Sunday | 19.00 - 20.00 | 81.67
Sunday | 20.00 - 21.00 | 79.23
Sunday | 21.00 - 22.00 | 85.63
Sunday | 22.00 - 23.00 | 105.0
Sunday | 23.00 - 0.00 | 85.95
----------------------------------------
Monday | 0.00 - 1.00 | 101.32
Monday | 1.00 - 2.00 | 96.67
Monday | 2.00 - 3.00 | 78.0
Monday | 3.00 - 4.00 | 78.0
Monday | 4.00 - 5.00 | 57.86
Monday | 5.00 - 6.00 | 26.56
Monday | 6.00 - 7.00 | 59.76
Monday | 7.00 - 8.00 | 82.6
Monday | 8.00 - 9.00 | 83.46
Monday | 9.00 - 10.00 | 68.71
Monday | 10.00 - 11.00 | 95.69
Monday | 11.00 - 12.00 | 102.1
Monday | 12.00 - 13.00 | 80.33
Monday | 13.00 - 14.00 | 84.33
Monday | 14.00 - 15.00 | 97.08
Monday | 15.00 - 16.00 | 91.29
Monday | 16.00 - 17.00 | 66.63
Monday | 17.00 - 18.00 | 61.92
Monday | 18.00 - 19.00 | 86.03
Monday | 19.00 - 20.00 | 73.33
Monday | 20.00 - 21.00 | 96.46
Monday | 21.00 - 22.00 | 88.65
Monday | 22.00 - 23.00 | 93.33
Monday | 23.00 - 0.00 | 101.25
----------------------------------------
Tuesday | 0.00 - 1.00 | 89.0
Tuesday | 1.00 - 2.00 | 85.0
